project_id,borough,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,total_units
54408,Staten Island,0,0,1,0,0,0,1
50356,Manhattan,29,1,0,0,0,0,30
54397,Staten Island,0,0,1,0,0,0,1
54553,Staten Island,1,0,0,0,0,0,1
68430,Brooklyn,0,0,102,0,0,1,103
54392,Queens,0,0,1,0,0,0,1
54395,Staten Island,0,0,1,0,0,0,1
54536,Brooklyn,0,0,1,0,0,0,1
58191,Brooklyn,0,0,0,0,1,0,1
50372,Bronx,0,0,69,0,0,1,70
53467,Queens,0,0,1,0,0,0,1
58189,Queens,0,0,0,0,1,0,1
54537,Staten Island,0,0,1,0,0,0,1
53529,Queens,0,0,1,0,0,0,1
53542,Bronx,0,0,2,0,0,0,2
53614,Staten Island,0,0,1,0,0,0,1
53664,Brooklyn,0,0,1,0,0,0,1
50405,Bronx,0,0,35,0,0,1,36
50405,Bronx,0,0,31,0,0,0,31
50417,Manhattan,38,15,5,0,0,1,59
50418,Manhattan,67,15,5,0,0,1,88
52241,Manhattan,0,103,103,52,0,0,1028
53615,Queens,0,0,1,0,0,0,1
58188,Brooklyn,0,0,0,0,1,0,1
58227,Staten Island,0,0,0,0,1,0,1
58491,Queens,8,3,42,0,0,1,54
50419,Manhattan,88,15,6,0,0,1,110
50421,Manhattan,97,26,7,0,0,1,131
58180,Bronx,0,0,0,0,1,0,1
55413,Queens,0,0,31,0,0,1,32
58179,Queens,0,0,0,0,1,0,1
53414,Queens,0,2,0,0,0,0,2
53663,Brooklyn,0,0,1,0,0,0,1
65068,Brooklyn,0,0,4,0,0,0,8
65107,Bronx,0,0,18,0,0,0,88
53616,Bronx,0,0,1,0,0,0,1
53661,Brooklyn,0,0,1,0,0,0,1
53611,Bronx,0,0,1,0,0,0,1
58200,Brooklyn,0,0,0,0,1,0,1
53251,Bronx,0,0,0,2,0,0,2
53609,Queens,0,1,0,0,0,0,1
53618,Bronx,0,0,1,0,0,0,1
53624,Queens,0,0,1,0,0,0,1
53666,Queens,0,0,1,0,0,0,1
58506,Manhattan,0,142,0,0,0,1,709
65108,Bronx,0,0,7,0,0,0,34
53612,Brooklyn,0,0,1,0,0,0,1
53212,Brooklyn,0,0,0,2,0,0,2
58198,Queens,0,0,0,0,1,0,1
51585,Manhattan,0,0,19,0,0,0,95
53610,Queens,0,0,1,0,0,0,1
53623,Staten Island,0,0,1,0,0,0,1
53665,Staten Island,0,0,1,0,0,0,1
53211,Brooklyn,0,0,0,1,0,0,1
