type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.8219179997,-73.9533100001,New York,07/19/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8145045398,-73.9593700004,New York,08/05/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8055162299,-73.9660518305,New York,07/20/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8037732698,-73.9362396996,New York,11/02/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7995046504,-73.9390354997,New York,06/15/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7912030397,-73.94478351,New York,06/15/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8611500003,-73.8973999995,Bronx,01/12/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.864870000100005,-73.8927999994,Bronx,10/26/2017 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.86366546,-73.9005118697,Bronx,06/13/2017 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8686984898,-73.9021008994,Bronx,08/01/2017 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8667651899,-73.8978027796,Bronx,11/03/2017 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.5977150787,-74.0838283464,Staten Island,02/28/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.598001994499995,-74.0830503856,Staten Island,02/28/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.5813039997,-74.1120102804,Staten Island,03/02/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.5816768496,-74.1113503895,Staten Island,05/25/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.58738523,-74.10370821949999,Staten Island,05/25/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.589032000100005,-74.1016839999,Staten Island,05/25/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.5899077101,-74.10090436,Staten Island,05/25/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.5914355797,-74.1008615799,Staten Island,05/25/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.6794854302,-73.9495224996,Brooklyn,04/28/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6788179999,-73.94957900050001,Brooklyn,05/31/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6775039998,-73.9496970302,Brooklyn,05/08/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6721144898,-73.95021389979999,Brooklyn,04/28/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.669167419699995,-73.9505022998,Brooklyn,05/19/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6624380004,-73.9506050003,Brooklyn,06/14/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.5647890002,-74.115318,Staten Island,02/28/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.8422026302,-73.91603241979999,Bronx,04/30/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.84425807,-73.9149608299,Bronx,01/12/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.72073474,-73.84588685,Queens,10/27/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7211768396,-73.84560657029999,Queens,01/16/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7481038954,-73.9399519777,Queens,10/18/2017 12:00:00 AM +0000,4,Queens
