INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
204294844,10/27/2019,01:30:00,BROOKLYN,73,0,,false,25-44,M,BLACK,25-44,M,BLACK,1010424,180852,40.66304320600005,-73.90565842999997
204294843,10/26/2019,22:50:00,BROOKLYN,75,0,FAST FOOD,false,,,,18-24,M,WHITE HISPANIC,1020100,188525,40.684069959000055,-73.87074095399998
204294840,10/26/2019,20:02:00,QUEENS,113,0,,true,,,,<18,M,BLACK,1043970,188448,40.683729750000055,-73.78467642099997
204296334,10/26/2019,04:20:00,BROOKLYN,69,0,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1010971,174787,40.646394480000026,-73.90371082399997
204294845,10/26/2019,04:00:00,BRONX,48,0,,false,,,,25-44,M,BLACK,1013751,247662,40.84640903700006,-73.89337329799997
204294847,10/25/2019,21:04:00,BRONX,47,0,,false,,,,18-24,M,BLACK,1024379,266718,40.89866994400006,-73.85484547899993
204294847,10/25/2019,21:04:00,BRONX,47,0,,false,,,,25-44,M,BLACK,1024379,266718,40.89866994400006,-73.85484547899993
204294841,10/25/2019,19:43:00,BRONX,46,0,,false,25-44,M,BLACK,25-44,F,BLACK,1012248,251807,40.857790719000036,-73.89878841299998
204294841,10/25/2019,19:43:00,BRONX,46,0,,false,25-44,M,BLACK,18-24,M,BLACK,1012248,251807,40.857790719000036,-73.89878841299998
204294841,10/25/2019,19:43:00,BRONX,46,0,,false,25-44,M,BLACK,18-24,M,WHITE HISPANIC,1012248,251807,40.857790719000036,-73.89878841299998
204294839,10/25/2019,12:54:00,QUEENS,100,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1037138,154271,40.58996484000005,-73.80957751099999
204192601,10/24/2019,21:56:00,BRONX,46,0,,false,,,,25-44,M,BLACK,1008471,251020,40.85564181000007,-73.91244513899994
204192603,10/24/2019,19:43:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1022078,183185,40.66940464800007,-73.86363907499998
204192600,10/24/2019,00:52:00,STATEN ISLAND,121,0,PVT HOUSE,true,25-44,M,BLACK,25-44,F,BLACK,938149,171781,40.63806398200006,-74.16610830199994
204138620,10/23/2019,19:53:00,QUEENS,113,0,,true,18-24,M,BLACK,18-24,M,BLACK,1045280,185698,40.67617271100005,-73.77997803999993
204154391,10/23/2019,15:16:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,982756,210140,40.74347045500008,-74.00539300399998
204039257,10/22/2019,03:04:00,QUEENS,102,0,,false,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1022254,188529,40.68407195200007,-73.86297449699998
204020534,10/21/2019,16:00:00,MANHATTAN,20,0,,false,25-44,M,BLACK,25-44,M,BLACK,987818,221369,40.77429060000002,-73.98711927099998
203980165,10/19/2019,10:25:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1037533,196062,40.70466945900005,-73.80782521099997
203980164,10/18/2019,14:43:00,MANHATTAN,32,0,MULTI DWELL - APT BUILD,true,45-64,F,BLACK,45-64,F,WHITE HISPANIC,1000565,234704,40.81087724100007,-73.94106415099996
203980164,10/18/2019,14:43:00,MANHATTAN,32,0,MULTI DWELL - APT BUILD,true,45-64,F,BLACK,65+,M,BLACK,1000565,234704,40.81087724100007,-73.94106415099996
203883813,10/17/2019,12:32:00,QUEENS,105,0,,false,,,,18-24,F,BLACK,1053981,179167,40.65818237800004,-73.74867718699994
203778568,10/15/2019,22:55:00,BROOKLYN,63,0,,false,,,,25-44,M,BLACK,1007121,166201,40.62283851900003,-73.91761360499999
